CUSTID,CATEGORY,DATE
1009561370,OfficeSupplies,1/1/2016
1009561370,Gas,1/1/2016
1009561370,Supermarkets,1/1/2016
1009561370,Home,1/2/2016
1009561370,Shoes,1/2/2016
1009561370,Dining,1/3/2016
1009561370,Supermarkets,1/3/2016
1009561370,Gas,1/4/2016
1009561370,Hotels,1/7/2016
1009561370,Supermarkets,1/10/2016
1009561370,Pharmacy,1/10/2016
1009561370,Supermarkets,1/15/2016
1009561370,Home,1/18/2016
1009561370,Supermarkets,1/20/2016
1009561370,Gas,1/25/2016
1009561370,Shoes,1/26/2016
1009561370,Transportation,2/4/2016
1009561370,Amazon,2/7/2016
1009561370,Transportation,2/11/2016
1009561370,OfficeSupplies,2/18/2016
1009561370,Transportation,2/19/2016
1009561370,OfficeSupplies,2/19/2016
1009561370,Hotels,2/21/2016
1009561370,Amazon,2/25/2016
1009561370,Shoes,3/2/2016
1009561370,Supermarkets,3/8/2016
1009561370,Transportation,3/9/2016
1009561370,Hotels,3/14/2016
1009561370,Dining,3/22/2016
1009561370,Transportation,3/23/2016
1009561370,Movie,3/23/2016
1009561370,OfficeSupplies,3/24/2016
1009561370,Dining,3/24/2016
1009561370,Amazon,3/26/2016
1009561370,Amazon,3/29/2016
1009561370,Pharmacy,4/5/2016
1009561370,Gas,4/9/2016
1009561370,Airfare,4/17/2016
1009561370,Dining,4/18/2016
1009561370,OfficeSupplies,5/1/2016
1009561370,Supermarkets,5/2/2016
1009561370,Pharmacy,5/12/2016
1009561370,Hotels,5/15/2016
1009561370,Home,5/23/2016
1009561370,Supermarkets,5/28/2016
1009561370,Gas,6/4/2016
1009561370,Transportation,6/6/2016
1009561370,Dining,6/13/2016
1009561370,Supermarkets,6/13/2016
1009561370,Gas,6/22/2016
1009561370,Gas,6/23/2016
1009561370,Supermarkets,6/26/2016
1009561370,Supermarkets,6/26/2016
1009561370,Home,6/28/2016
1009561370,Transportation,6/28/2016
1009561370,Shoes,7/2/2016
1009561370,Gas,7/7/2016
1009561370,Transportation,7/8/2016
1009561370,Supermarkets,7/21/2016
1009561370,Hotels,7/22/2016
1009561370,Hotels,7/23/2016
1009561370,OfficeSupplies,7/28/2016
1009561370,DepartmentStores,7/31/2016
1009561370,Gas,8/5/2016
1009561370,Movie,8/7/2016
1009561370,Pharmacy,8/10/2016
1009561370,Shoes,8/12/2016
1009561370,Movie,8/14/2016
1009561370,Gas,8/16/2016
1009561370,Pharmacy,8/16/2016
1009561370,Supermarkets,8/21/2016
1009561370,Pharmacy,8/23/2016
1009561370,Supermarkets,8/23/2016
1009561370,Supermarkets,8/28/2016
1009561370,OfficeSupplies,9/1/2016
1009561370,Airfare,9/2/2016
1009561370,Supermarkets,9/6/2016
1009561370,DepartmentStores,9/9/2016
1009561370,Supermarkets,9/17/2016
1009561370,Transportation,10/4/2016
1009561370,Transportation,10/11/2016
1009561370,Gas,10/23/2016
1009561370,DepartmentStores,10/25/2016
1009561370,Supermarkets,10/26/2016
1009561370,Gas,10/28/2016
1009561370,DepartmentStores,10/30/2016
1009561370,Gas,10/30/2016
1009561370,Supermarkets,11/6/2016
1009561370,Supermarkets,11/6/2016
1009561370,Transportation,11/8/2016
1009561370,Transportation,11/8/2016
1009561370,Transportation,11/13/2016
1009561370,Movie,11/14/2016
1009561370,Transportation,11/24/2016
1009561370,Pharmacy,11/26/2016
1009561370,OfficeSupplies,11/26/2016
1009561370,Airfare,12/1/2016
1009561370,Supermarkets,12/1/2016
1009561370,OfficeSupplies,12/8/2016
1009561370,Home,12/9/2016
1009561370,Safari,12/13/2016
1009561370,Dining,12/15/2016
1009561370,Dining,12/16/2016
1009561370,Hotel,12/17/2016
1009561370,Supermarkets,12/19/2016
1009561370,Transportation,12/22/2016
1009561370,Transportation,12/29/2016
